uniq_id,manufacturer,price,number_of_reviews,product_name_new,category,subcategory,Rating
f526992d9ca898bfcfa331434839649d,MyTinyWorld,1.5,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
fb21db05e4371b50cab171fe32538a43,Town Square Miniatures,3.25,4,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.8
93b508fe7696bae2e3ffb61b97d30b65,MyTinyWorld,9.0,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
c68fe908e47e1c245ae97fcabe55b23f,Wonham,19.99,3,Dolls House Ele,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
b34939ed0e9d49f2c95fd828991ee141,MyTinyWorld,1.8,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
96dbc7e514f04c2d1e64d45d61f78482,Melody Jane Dolls Houses,5.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
42d27297efaed038fbe23974ea5e74f8,Melody Jane Dolls Houses,2.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
0d8ec10b49989da1c6830e23eedb2c88,Lundby,11.52,1,Lundby 1:18 Sca,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
49ad61e0d451741dbf57322d66d30b14,MyTinyWorld,1.8,1,6 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
4a8845c3bd10d705414aa3a7052bf289,Unknown,1.99,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
91aed664f422ea8a02084e4086ab47ac,MyTinyWorld,1.75,2,MyTinyWorld Set,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
195c5cd494205ab2154cbfbe97feb5f9,Carl Schmieder,4.25,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
155c1a915892ceff6e2c44c14f96529c,Generico,2.29,5,Set of 12 Pcs D,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.8
e6b2625189bd81114ee3ffd010376fcd,MUFFIN LODGE,2.69,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
1e0527eecec5ba02758419a7d2a42bf3,Town Square Miniatures,4.5,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
63895b56917f12858c64f9d4d5a3cc2e,Town Square Miniatures,3.99,1,New Dolls House,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
d2ce44ab58f117596e1a913d281060a0,Sophia's,9.99,1,"Doll Hangers, W",Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
58571ef77844e5a63bbfaba974ba2ad7,Wonham,3.95,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
f987a69d89c956778a98579530cf9a36,Town Square Miniatures,9.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
e29449a43bc9f3b0435115b42999a9e8,MyTinyWorld,2.03,4,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.8
31ab8040f27a73021c86914230e7f1f7,Town Square Miniatures,6.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
b8553745fe9120904b666c536f114656,MyTinyWorld,3.0,2,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
6b2dcda8570d2c1e21bb683d0b38a7b6,MyTinyWorld,1.8,2,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
5cd60443bb55eef431ea40cfa33d8768,MyTinyWorld,2.5,6,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.7
12a7ecf599977197a8983a5e1e7ac001,MyTinyWorld,2.2,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
15ffd8509aa9813e6389a3ed07edab81,MyTinyWorld,1.68,6,7 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
58527245b5fd59fedb498671bde66ced,MyTinyWorld,1.98,1,2 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
92c06e258447f81909ac1c94b3a117a1,MyTinyWorld,2.3,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
139b57b370032f7afa5a6e50fd9dd389,Farrow Industries,2.69,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
7e1e876e20747601a64e0067bb3c022a,MyTinyWorld,1.92,1,4 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
ec5e899c8da998fd624e4830eddb8d42,MyTinyWorld,1.76,1,2 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
927d758fe115be7ef13f3a79d1c642e2,Jeremie,13.99,1,Miniature Fairy,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
64ceb3ed940764ec805de2bd894c8661,MyTinyWorld,3.5,1,MyTinyWorld Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
b1ad212ac508e49a1b65330e1529f045,MyTinyWorld,2.5,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
fd5ddec712796ddc6887464d4be55758,MyTinyWorld,5.1,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
0e966ec4d5783ee7e03c9f9663116560,Town Square Miniatures,3.99,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
71ff78752bb81048c1b80d3cf8ccc52d,MyTinyWorld,3.0,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
7f4e5ceea73fc829f7eeb25b152a9f8b,Town Square Miniatures,8.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
4c0b90537698db23c307889696758fac,Sue Ryder,4.99,1,New 12th Scale ,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
43f61dab8f7058a62191538397e95ea7,Sylvanian Families,18.99,17,Sylvanian Famil,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.9
9bf98a4f5bd25495bfdad3f4e85580f4,MyTinyWorld,1.75,1,5 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
7f744a2cea7677cfe836d552df36dd21,MyTinyWorld,1.8,1,3 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
0744f502a68f5119ac3c25adacea5d82,MyTinyWorld,4.5,1,MyTinyWorld 21m,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
3b294a9acc470d30acc3bae240e85e84,Falcon Miniatures,8.99,1,Dolls House Fal,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
ad938f547649fa0008cdb7dc776423e7,Disney Junior,9.99,10,Doc McStuffins ,Characters & Brands , Disney ,4.9
64373677a5d37d4660958227fdc90120,Vanity Fair,8.99,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
e9dd5f81382ce8800389318ad86295eb,MyTinyWorld,2.8,4,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
99be76808865baefb3a55a0f57f2c77b,Sylvanian Families,19.99,13,Sylvanian Famil,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
b177ae034e03cd4fbc0c9fc544fcb401,RB Foltz,6.5,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
09a358d48449d30c55264b5f6661edef,Town Square Miniatures,4.5,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
2a545918d458a9cf4e3795528713f808,Town Square Miniatures,6.99,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
c2e8b31a72311a05629a7a643f23ef37,STREETS AHEAD,3.59,1,Dolls House Tap,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
cebd495176809d317942ccdec109e8c0,Tumdee Miniatures,2.75,1,Tumdee Miniatur,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
bf09e2a610f3de2c17038284a86c1fd6,MyTinyWorld,3.84,2,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.0
ea97895f6368f4462aba77f31aa4fe42,Generic,1.5,5,Doll House Mini,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.6
f48c3633d393af894ddbed75e43d6ec9,MyTinyWorld,2.82,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
51fa846726c1befe0e441cb3b2aa66f2,Carl Schmieder,1.0,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
d62154273ef5b065873853faca46c3d0,Falcon,7.34,1,New Dolls House,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
79bb335d4fe7ca80482520f0f4aebb09,Unknown,15.5,1,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
88ea48e134acd47b772c6440beb9adc2,MyTinyWorld,1.5,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
339d959c1e11477dd16a035bf934c8e6,MyTinyWorld,1.8,1,6 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
b82abca056410efd77babcdf04030808,STREETS AHEAD,12.97,1,1:12 Scale Doll,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
f67b7679f4b8b9be7deeaf04631a2be6,MyTinyWorld,2.61,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
4a53ed4531f97f2eb30d17fcb404d77a,Epoch,9.11,1,Sylvanian Famil,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
b90486aba78343b893907d773e49107e,Generic,2.81,5,1/12 Dollhouse ,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
50ca2d3b7bd7e7082fbdd228ba49acc0,MyTinyWorld,1.92,1,4 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
605e44e620e9cbc12f3c47e51a8b915b,MyTinyWorld,1.75,1,MyTinyWorld Set,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
8bc86abdf08b55c268708c267116d965,Town Square Miniatures,2.49,3,New Dolls House,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.7
c56695cb7a084a930f366a0abdaef0ac,Melody Jane Dolls Houses,2.99,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
5ede339799bdd47ad71c68eeeb0c15c0,MyTinyWorld,1.98,1,3 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
c85169b978c9381d071fec6c16d3ce25,MyTinyWorld,2.7,1,2 x MyTinyWorld,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
82c465658c8765d226f0ea01f94e8a91,MyTinyWorld,6.25,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
db7a0dae59e54a13491b64c8589f9f48,Sue Ryder,9.69,5,Miniature Dolls,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.2
ed9b1da4e2a926496f3cf8ff667380e8,MyTinyWorld,2.8,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
6055c045f9e7e1c3d67a15caf56b14e7,Unknown,1.99,3,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.7
19dccee1f5451f9ec9cf7b5f67b17a7c,MyTinyWorld,1.5,1,MyTinyWorld Dol,Dolls & Accessories , Dolls' House Dolls & Accessories ,5.0
d55c3423e987eefbb692645a11721233,Town Square Miniatures,3.29,2,Dolls House Min,Dolls & Accessories , Dolls' House Dolls & Accessories ,4.5
